round,match_date,home_team,guest_team,stadium,date_added,score_home_team,score_guest_team,winning_team,is_weekend,match_period,day_of_week,home_team_wins_last_5,home_team_draws_last_5,home_team_loses_last_5,guest_team_wins_last_5,guest_team_draws_last_5,guest_team_loses_last_5
Rodada 1,2024-04-13 18:30:00,Internacional,Bahia,Beira-Rio,2025-05-21 21:28:39.081123,2,1,home,True,night,Saturday,0,0,0,0,0,0
Rodada 1,2024-04-13 18:30:00,Criciúma,Juventude,Heriberto Hülse,2025-05-21 21:28:39.089705,1,1,draw,True,night,Saturday,0,0,0,0,0,0
Rodada 1,2024-04-13 21:00:00,Fluminense,Bragantino,Maracanã,2025-05-21 21:28:39.138814,2,2,draw,True,night,Saturday,0,0,0,0,0,0
Rodada 1,2024-04-13 21:00:00,São Paulo,Fortaleza,Morumbi,2025-05-21 21:28:39.183327,1,2,guest,True,night,Saturday,0,0,0,0,0,0
Rodada 1,2024-04-14 16:00:00,Vasco,Grêmio,São Januário,2025-05-21 21:28:39.222546,2,1,home,True,afternoon,Sunday,0,0,0,0,0,0
Rodada 1,2024-04-14 16:00:00,Corinthians,Atlético-MG,Arena Corinthians,2025-05-21 21:28:39.253346,0,0,draw,True,afternoon,Sunday,0,0,0,0,0,0
Rodada 1,2024-04-14 16:00:00,Athletico-PR,Cuiabá,Arena da Baixada,2025-05-21 21:28:39.286797,4,0,home,True,afternoon,Sunday,0,0,0,0,0,0
Rodada 1,2024-04-14 16:00:00,Atlético-GO,Flamengo,Serra Dourada,2025-05-21 21:28:39.310302,1,2,guest,True,afternoon,Sunday,0,0,0,0,0,0
Rodada 1,2024-04-14 17:00:00,Cruzeiro,Botafogo,Mineirão,2025-05-21 21:28:39.329984,3,2,home,True,afternoon,Sunday,0,0,0,0,0,0
Rodada 1,2024-04-14 18:30:00,Vitória,Palmeiras,Barradão,2025-05-21 21:28:39.350312,0,1,guest,True,night,Sunday,0,0,0,0,0,0
Rodada 2,2024-04-16 21:30:00,Bahia,Fluminense,Fonte Nova,2025-05-21 21:28:40.149185,2,1,home,False,night,Tuesday,0,0,1,0,1,0
Rodada 2,2024-04-17 19:00:00,Grêmio,Athletico-PR,Arena do Grêmio,2025-05-21 21:28:40.156973,2,0,home,False,night,Wednesday,0,0,1,1,0,0
Rodada 2,2024-04-17 19:00:00,Bragantino,Vasco,Nabi Abi Chedid,2025-05-21 21:28:40.178269,2,1,home,False,night,Wednesday,0,1,0,1,0,0
Rodada 2,2024-04-17 20:00:00,Atlético-MG,Criciúma,Arena MRV,2025-05-21 21:28:40.200388,1,1,draw,False,night,Wednesday,0,1,0,0,1,0
Rodada 2,2024-04-17 20:00:00,Palmeiras,Internacional,Arena Barueri,2025-05-21 21:28:40.220923,0,1,guest,False,night,Wednesday,1,0,0,1,0,0
Rodada 2,2024-04-17 20:00:00,Fortaleza,Cruzeiro,Castelão (CE),2025-05-21 21:28:40.249523,1,1,draw,False,night,Wednesday,1,0,0,1,0,0
Rodada 2,2024-04-17 20:00:00,Juventude,Corinthians,Alfredo Jaconi,2025-05-21 21:28:40.271144,2,0,home,False,night,Wednesday,0,1,0,0,1,0
Rodada 2,2024-04-17 21:30:00,Flamengo,São Paulo,Maracanã,2025-05-21 21:28:40.291890,2,1,home,False,night,Wednesday,1,0,0,0,0,1
