iter	TotalF1	MultiClass
0	0.5168365687	1.090753642
1	0.5175125577	1.082173572
2	0.512951379	1.074247356
3	0.517596788	1.066659441
4	0.517596788	1.058777964
5	0.5147656462	1.050791156
6	0.5154538695	1.043437072
7	0.5147656462	1.036589247
8	0.5133843652	1.030401834
9	0.5133843652	1.024114441
10	0.5133843652	1.018081986
11	0.5133843652	1.012454588
12	0.5133843652	1.00659714
13	0.5133843652	1.001001911
14	0.5133843652	0.9959174097
15	0.5133843652	0.9907335654
16	0.5133843652	0.9857420028
17	0.5140758137	0.9812215757
18	0.5133843652	0.9765805412
19	0.5133843652	0.9720083754
20	0.5140758137	0.9675685271
21	0.5133843652	0.9634911728
22	0.5133843652	0.9590986659
23	0.5133843652	0.9552784741
24	0.5133843652	0.9514882362
25	0.5133843652	0.947888193
26	0.5133843652	0.944255683
27	0.5133843652	0.940705502
28	0.5133843652	0.9372843303
29	0.5133843652	0.9336901385
30	0.5133843652	0.9305233117
31	0.5133843652	0.9273610265
32	0.5133843652	0.9240815282
33	0.5133843652	0.9209232421
34	0.5133843652	0.9182187173
35	0.5133843652	0.9155914853
36	0.5133843652	0.9127803619
37	0.5133843652	0.9102271777
38	0.5133843652	0.9075289831
39	0.5133843652	0.9051715069
40	0.5133843652	0.9026048812
41	0.5140758137	0.9001874151
42	0.5133843652	0.8979325213
43	0.5133843652	0.8955832159
44	0.5140758137	0.8934552503
45	0.5133843652	0.891271655
46	0.5154538695	0.8891506277
47	0.5154538695	0.8872384709
48	0.5147656462	0.8854966298
49	0.5147656462	0.883634864
50	0.5140758137	0.8819108216
51	0.5133843652	0.8801318027
52	0.5147656462	0.8783956355
53	0.5147656462	0.8767447897
54	0.5147656462	0.8752651533
55	0.5154538695	0.8734785253
56	0.5175089524	0.8716189834
57	0.5188710856	0.8700430265
58	0.5181908067	0.8684600557
59	0.5222490772	0.8668175064
60	0.5209025349	0.865227646
61	0.5209025349	0.8639910735
62	0.5216599011	0.8623898972
63	0.5216599011	0.8611270236
64	0.5209865997	0.8595664938
65	0.5230018945	0.858132151
66	0.5230018945	0.8567729456
67	0.524337785	0.855492778
68	0.5250034574	0.8538968031
69	0.5236705995	0.8526095941
70	0.5283093415	0.8511700734
71	0.5283093415	0.8500644418
72	0.5283093415	0.8488751417
73	0.5283093415	0.8477951959
